site;ind;fertile;frondMass;primaryLength;primaryWidth;frondLength;stipeMass;stipeLength;stipeCirc;tufts;epiphyteLength;totalLength
Miller's Point;1;NA;2.25;17;11;170;5.25;531;17;10;380;701
Miller's Point;2;NA;1.6;12;7.5;126;5.25;482;14;7;359;608
Miller's Point;3;NA;1.75;15;9;137;5;455;15;8;258;592
Miller's Point;4;NA;1.3;25;13;144;5.25;509;20;10;387;653
Miller's Point;5;NA;2.75;22;21;144;5;574;30;8;500;718
Miller's Point;6;NA;1.3;17;8;160;4.25;439;15;8;NA;599
Miller's Point;7;NA;5.2;25;22;192;7.25;493;25;9;391;685
Miller's Point;8;NA;2.25;19;10;174;4;386;17;9;65;560
Miller's Point;9;NA;2.75;14;10;196;5.7;549;18;8;202;745
Miller's Point;10;NA;2.5;NA;16;173;6.2;480;22;NA;420;653
Miller's Point;11;NA;2.25;19;13;200;6;523;18;NA;292;723
Baboon Rock;1;NA;6.51;26;16;190;6.5;494;27;10;380;684
Baboon Rock;2;NA;1.6;17;16;155;5.75;429;21;8;372;584
Baboon Rock;3;NA;2.75;19;12;147;6.5;455;17.5;11;NA;602
Baboon Rock;4;NA;0.25;13;6;66;3.5;375;13;7;249;441
Baboon Rock;5;NA;7.5;16;17;228;6.25;645;19;8;639;873
Baboon Rock;6;NA;4.75;22;12;192;5;557;26;8;442;749
Baboon Rock;7;NA;3;21;15;144;5.75;448;21;9;367;592
Baboon Rock;8;NA;3.5;23;13;180;6;501;21;10;404;681
Baboon Rock;9;NA;2.25;15.5;7;130;4.78;416;15;7;319;546
Baboon Rock;10;NA;3;20;12;151;5.75;457;18;9;328;608
Baboon Rock;11;NA;3.5;17;10.5;160;6.25;460;19;6;359;620
Betty's Bay;1;NA;6.25;17;24;239;7.6;715;30;12;410;954
Betty's Bay;2;NA;4.3;19;11;238;7.6;752;23;8;430;990
Betty's Bay;3;NA;5.75;21;12;205;8.55;735;27;8;512;940
Betty's Bay;4;NA;3;15;10;203;6.75;680;19;11;315;883
Betty's Bay;5;NA;1.8;13;8;225;6;680;15;9;455;905
Betty's Bay;6;NA;4.125;20;15;175;7;788;28;9;495;963
Betty's Bay;7;NA;2.75;18;13;180;5.8;745;20;8;270;925
Betty's Bay;8;NA;2.75;14;24;190;6.25;750;34;8;460;940
Betty's Bay;9;NA;NA;16;10;180;6.6;755;16;10;430;935
Betty's Bay;10;NA;5.25;21;19;239;9.5;742;40;9;555;981
Betty's Bay;11;NA;2.3;16;8;200;6.25;649;17;13;374;849
Betty's Bay;12;NA;5.75;17;24;236;8.8;805;29;15;725;1041
Betty's Bay;1;NA;7.8;22;25;NA;5.8;510;36;10;305;NA
Betty's Bay;2;NA;2.8;29;19;NA;4;570;29;10;365;NA
Betty's Bay;3;NA;6.2;20;28;NA;4.875;515;31;8;408;NA
Betty's Bay;4;NA;5.75;23;14;NA;6.5;620;23;8;152;NA
Betty's Bay;5;NA;8.25;23;17;NA;7.5;607;35;9;444;NA
Betty's Bay;6;NA;4;16;11;NA;5;494;23;8;322;NA
Betty's Bay;7;NA;7.75;18;13;NA;5;538;27;8;350;NA
Betty's Bay;8;NA;5.5;12;25;NA;6.75;540;33;6;532;NA
Betty's Bay;9;NA;4.5;15;23;NA;5;539;38;9;414;NA
Betty's Bay;10;NA;4.5;16;12;NA;6.25;540;34;8;36;NA
Betty's Bay;11;NA;8.3;19;22;NA;5;494;37;8;374;NA
Betty's Bay;12;NA;7.25;20;14;NA;6.25;522;29;5;361;NA
Kalk Bay;1;yes;5.25;19;14;145;6;490;25.5;9;399;635
Kalk Bay;2;yes;2.6;15;12;132;5.2;377;19;8;276;509
Kalk Bay;3;no;0.8;14;7;76;4.3;284;15.5;7;220;360
Kalk Bay;4;no;1.3;11;7;84;5;391;16;6;265;475
Kalk Bay;5;no;0.7;11.5;7.5;88;4.5;341;16.5;6;275;429
Kalk Bay;6;yes;3.35;15;19;146;4.5;286;34;5;259;432
Kalk Bay;7;no;3.25;14;13.5;165;4.25;281;24;7;228;446
Kalk Bay;8;yes;2.5;16;12;152;6.4;486;20.5;6;442;638
Kalk Bay;9;no;1.4;8;8;94;4.5;305;15.5;4;227;399
Kalk Bay;10;yes;0.55;17;8;52;4.05;323;14.5;8;224;375
Kalk Bay;11;no;1.5;15;9;117;1.25;322;19;9;305;439
Kalk Bay;12;yes;3.9;14;13;148;7.25;461;23;6;402;609
A-Frame;1;yes;3;18;15;116;5.25;456;23.5;6;332;572
A-Frame;2;yes;2.5;17;20;141;8.75;477;27;6;381;618
A-Frame;3;yes;2.25;16;10;144;4.05;427;17.5;7;357;571
A-Frame;4;yes;2.25;20;12;127;4.5;347;22.5;5;320;474
A-Frame;5;yes;3.25;15;11;160;4.25;470;17;5;384;630
A-Frame;6;yes;2.25;18.5;10.5;181;5;478;17.5;4;394;659
A-Frame;7;yes;4.78;14;13;174;5.05;472;24;6;409;646
A-Frame;8;no;1;19;13;95;5.5;459;25.5;8;392;554
A-Frame;9;yes;0.75;17;7;87;2.75;397;14.5;4;369;484
A-Frame;10;yes;3;22.5;20;127;6.5;541;25.5;6;508;668
A-Frame;11;yes;5;18;16;118;6.35;507;30;6;482;625
A-Frame;12;yes;3;16;13.5;151;4.5;463;22;8;384;614
A-Frame;13;no;1.1;16;8;121;2.5;271;14;10;177;392
Batsata Rock;1;yes ;10;28;17;181;7.35;720;33;7;575;901
Batsata Rock;2;yes;9.85;18;22.5;194;8.5;600;36;8;450;794
Batsata Rock;3;yes;5;14;8.8;160;6.51;720;24.5;6;373;880
Batsata Rock;4;yes;7.5;21;18;229;6.65;395;29;6;620;624
Batsata Rock;5;yes;4.8;29;18;220;6.75;669;34;10;575;889
Batsata Rock;6;yes;7.2;19;22;243;6.85;684;30;8;544;927
Batsata Rock;7;yes;6.5;5;16;242;7.5;668;32.5;8;534;910
Batsata Rock;8;yes;9;17;7;129;3.05;356;14.5;8;229;485
Batsata Rock;9;yes;6.1;16;9.5;219;5.35;631;17;8;351;850
Batsata Rock;10;yes;4.23;17;10.5;250;4.65;669;19;8;474;919
Batsata Rock;11;yes;6.4;19;12.5;198;5.55;746;28.5;7;675;944
Batsata Rock;12;yes;5.5;20;14.5;235;5.35;655;32.5;8;536;890
Batsata Rock;13;yes;5.75;16;9.5;215;5.45;536;17.5;7;770;751
Cape Point;1;yes;6.25;24;15;205;13.75;1291;27;8;1244;1496
Cape Point;2;yes;2.2;19;7;190;9.8;974;17;6;180;1164
Cape Point;3;yes;3.9;16;11;220;13.05;1170;23;9;700;1390
Cape Point;4;yes;3.4;16;12;294;12.75;1397;24;9;0;1691
Cape Point;5;yes;2.25;15;8;183;9.6;1152;15;9;750;1335
Cape Point;6;yes;17.8;23;11;254;16.2;1190;18;10;1105;1444
Cape Point;7;yes;3.38;17;8;215;9;1210;13;9;1152;1425
Cape Point;8;yes;6;20;15;180;12.5;1190;28;9;428;1370
Cape Point;9;yes;6.7;12;7;140;15.25;1010;14;8;916;1150
Cape Point;10;yes;2.6;20;10;157;8.5;830;17;11;697;987
Cape Point;11;yes;1.5;14;9;308;8.3;1050;28;8;0;1358
Cape Point;12;yes;5.9;16;11;242;12.25;1050;22;6;0;1292
Buffels;1;yes;0.75;14;8;82;5.8;634;19;7;0;716
Buffels;2;yes;2.25;13;8;142;4.2;59;17;8;0;201
Buffels;3;yes;3.9;17;9;160;6.3;618;18;7;0;778
Buffels;4;yes;1.5;13;7;103;5.75;540;14;8;0;643
Buffels;5;yes;2.75;16;8;117;5.3;607;18;8;0;724
