area;description;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
1;Gelidium;49363;79733;91978;109053;92257;100881;91834;86834;87041;73312;138748;128524;142102;147927;124614;144997;137766;113869;119143;84885;104456;95606;120247;115502;103903;102240;104299;106182;68300;95400;102500
5;Beach dry;513966;566722;0;0;116373;264167;66160;0;0;0;0;195932;381035;359400;93460;166867;7742;0;0;105;0;0;0;0;258000;120000;262100;0;0;0;0
5;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353756;117100;96025;186426;254366;189006;232675;98931;115320;0;0;0;0;0
5;Harvested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155244;763829;519844;695900;888916;1073104;1115186;612133;590227;602530;856105;1792027;423550;0;0;0;0
6;Beach dry;0;0;778262;556683;95162;240581;155076;3200;0;90200;110719;202351;285264;322280;245500;249428;337455;362245;332572;278833;124481;266065;179301;144167;158289;104116;90485;119942;101461;66215;74335
6;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;878110;691968;29920;29104;60130;27017;23925;43820;65624;68715;58430;61928;48043;10521
6;Harvested;0;0;0;0;0;0;1050;4742;8069;10473;25796;36803;242574;728245;1292359;2072587;2540664;897497;316456;1508200;701226;2539826;2727414;2543077;2554612;3263536;3440959;3937421;2854886;2234500;2363697
7;Beach dry;0;0;0;0;279653;91946;38679;2200;1800;12683;1890;16000;90355;59000;0;31373;83000;191918;268206;59136;1149;0;0;36472;49;11633;41534;65314;83191;54219;17352
7;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;522848;291800;949;1000;70;840;1610;4550;6210;6650;4480;12571;3510;32079
7;Harvested;0;0;0;0;0;0;0;0;0;0;440;3499;19708;349331;685751;1511319;1387325;348497;76982;452384;31230;10200;199600;154800;135850;328600;76750;232086;420765;115478;141910
8;Beach dry;0;0;0;0;22455;0;0;0;0;265;170363;0;0;0;0;0;0;0;0;0;0;0;0;121310;13000;96744;48610;112958;56360;0;0
8;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79314;0;0;0;0;0;0;0;76520;0;0;0;0
8;Harvested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37500;864229;730791;950780;989830;474581;401426;238824;0;0;0;0;0;0;0;0;0
9;Kelpak;243458;116538;166601;261550;196507;223759;268181;277055;364768;315695;495055;426025;321710;273030;608900;641375;701270;957063;1168703;1089565;918365;1224310;809862;1232760;1264739;1617917;1577536;2127629;1911263;2193773;2166293
10;Beach dry;0;156222;13590;17472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2200;17600;0;31400;16479;18454;80687;41731;33000;44540;62040
10;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4250;30788;30226;6188;5100;8679
10;Harvested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77976;5301;112982;2060;0;0;19062
11;Beach dry;129000;27000;24000;0;135500;29400;0;20000;0;23783;0;43556;81694;30000;0;0;0;9453;330;0;26268;28430;77063;84699;47440;66681;39657;72848;66198;47820;42840
11;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111630;54971;0;181691;195760;122528;88475;58406;58406;66145;135897;139247;406918;48739
11;Harvested;0;0;0;0;0;0;0;0;0;0;0;0;128593;424104;613537;892525;155850;1157979;936709;0;1195719;1507704;1542907;1340909;1493253;1634471;1413547;1413289;1404711;1061325;1520090
12;Beach dry;69000;32000;0;0;38000;37700;0;0;0;0;0;75466;76573;0;0;0;0;29000;24000;0;0;0;17466;0;0;0;0;0;0;0;0
12;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33718;29740;0;0;0;0;0;0;0;0
13;Beach dry;75000;770000;566999;383203;316828;84366;55626;66513;121273;27508;0;0;78260;15318;36218;100511;74042;126327;88639;65898;94914;122095;61949;102925;53929;40511;43297;20485;19335;52827;69363
14;Beach dry;471010;0;0;1160;258901;434530;289445;229519;311673;175077;522729;659939;341480;274400;186064;207054;216534;177081;144118;165179;145670;79771;204365;117136;166106;72829;151561;97283;136266;158184;154010
15;Beach dry;700000;468000;612000;204500;484000;518949;521720;94200;0;192063;396262;258553;252018;285780;145000;40000;12000;128960;79960;10300;19550;0;18896;0;0;0;160500;36380;74300;0;0
15;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624000;0;0;0;0
16;Beach dry;489000;177000;244000;65000;319000;274766;198800;41200;0;142512;321416;252010;159945;97000;53000;50000;15000;77400;49160;35920;28600;84445;16804;0;0;0;156000;24000;75743;0;0
16;Beach wet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624000;48000;0;0;0
17;Gracilaria;155295;170160;361758;27600;0;0;191605;377939;272467;439326;189650;266328;270450;269819;264300;247900;65461;92215;157161;19382;50370;600;0;0;0;0;0;0;0;0;0
