site;species;depth;stipe_length;stipe_weight;frond_weight;total_weight;hollow_length;outer_diam;inner_diam;hollowness
Buffels;ecklonia;shallow;107;305;405;710;96;25;16;92,3
Buffels;ecklonia;shallow;107;230;190;420;94;22;14;87,9
Buffels;ecklonia;shallow;113;275;755;1030;102;22;13;90,3
Buffels;ecklonia;shallow;116;255;110;365;107;20;13;92,2
Buffels;ecklonia;shallow;117;380;860;1240;105;27;17;89,7
Buffels;ecklonia;shallow;118;310;280;590;102;25;16;86,4
Buffels;ecklonia;shallow;123;400;345;745;113;26;16;91,9
Buffels;ecklonia;shallow;131;970;2380;3350;108;85;62;82,4
Buffels;ecklonia;shallow;140;350;390;740;126;21;13;90
Buffels;ecklonia;shallow;141;700;170;870;124;42;27;87,9
Buffels;ecklonia;shallow;141;300;315;615;126;20;13;89,4
Buffels;ecklonia;shallow;142;700;235;935;128;32;21;90,1
Buffels;ecklonia;shallow;52;95;185;280;37;18;10;71,2
Buffels;ecklonia;shallow;59;100;50;150;45;19;11;76,3
Buffels;ecklonia;shallow;61;120;180;300;52;20;12;85,2
Buffels;ecklonia;shallow;64;175;220;395;56;22;12;87,5
Buffels;ecklonia;shallow;73;175;35;210;61;21;13;83,6
Buffels;ecklonia;shallow;79;140;235;375;68;19;11;86,1
Buffels;ecklonia;shallow;80;185;130;315;70;21;14;87,5
Buffels;ecklonia;shallow;57;305;2150;2455;49;43;27;86
Buffels;ecklonia;shallow;65;370;965;1335;48;40;28;73,8
Buffels;ecklonia;shallow;100;530;695;1225;78;36;24;78
Buffels;ecklonia;shallow;50;175;1135;1310;44;25;15;88
Buffels;ecklonia;shallow;66;475;3220;3695;56;59;45;84,8
Buffels;ecklonia;shallow;77;650;2020;2670;65;63;50;84,4
Buffels;ecklonia;shallow;87;350;565;915;73;29;19;83,9
Buffels;ecklonia;shallow;95;850;1450;2300;74;62;47;77,9
Buffels;ecklonia;shallow;58;100;260;360;44;18;9;75,9
Buffels;ecklonia;shallow;59;90;285;375;49;17;10;83,1
Buffels;ecklonia;shallow;70;175;575;750;56;21;10;80
Buffels;ecklonia;shallow;73;240;885;1125;59;24;14;80,8
Buffels;ecklonia;shallow;107;870;1375;2245;83;62;45;79,8
