site,lon,lat,sampled,day,date,time
Ratelklip,18.35,-34.0977,n,7,,
Slangkoppunt,18.3187,-34.1487,n,7,,
Soetwater,18.3375,-34.1764,n,7,,
Olifantsbos,18.3755,-34.2564,n,7,,
Cape Point,18.467133,-34.366267,y,4,15/05/01,10:40:00
Buffels Bay,18.470217,-34.332867,y,4,15/05/01,14:35:00
Batsata Rock,18.4802,-34.2768,y,3,15/04/10,11:53:00
Baboon Rock,18.47824,-34.25525,y,1,15/03/25,12:03:00
Miller's Point,18.47726,-34.23031,y,1,15/03/25,10:19:00
A-Frame,18.468,-34.2072,y,3,15/04/10,10:45:00
Roman Rock,18.46056,-34.18153,y,3,15/04/10,10:23:00
Kalk Bay,18.4564,-34.1214,y,2,15/04/09,11:00:00
Muizenberg,18.4724,-34.1108,n,8,,
Rooiels,18.811,-34.2979,n,6,,
Cape Hangklip,18.8281,-34.388,n,6,,
Betty's Bay,18.911,-34.361,y,5,15/05/31,10:30:00
Oudekraal,18.346194,-33.984972,n,9,,
