site,src,lon,lat,depth,type,installed,boat,From Pieter,,Converted by: http://www.onlineconversion.com/map_decimaldegrees.htm,,From Pieter (offshore),,,
Buffelsbaai,UWC,18.466383,-34.325367,0,UTR,yes,no,,,,,,,,
Batsata Rock,UWC,18.47557,-34.2774,4,UTR,yes,yes,18 28.534,34 16.642,18.475566,-34.277366,18 28.812,34 16.608,18.4802,34.2768
Baboon Rock,UWC,18.47824,-34.25525,0,UTR,yes,no,18 28.560,34 15.474,18.476,-34.2579,,,,
Miller’s Point,UWC,18.4749,-34.23002,0,UTR,yes,no,,,,,,,,
A Frame,UWC,18.468,-34.2072,0,UTR,yes,no,18 28.080,34 12.432,18.468,-34.2072,,,,
Roman Rock,UWC,18.46055,-34.1815,6,UTR,yes,yes,18 27.633,34 10.892,18.46055,-34.181533,,,,
Kalkbaai,UWC,18.44932,-34.13112,0,UTR,yes,no,,,,,,,,
Ratelklip,UWC,18.35,-34.0977,,UTR,no,no,,,,,,,,
Slangkoppunt,UWC,18.3187,-34.1487,,UTR,no,no,,,,,,,,
Soetwater,UWC,18.3375,-34.1764,,UTR,no,no,,,,,,,,
Olifantsbospunt,UWC,18.3755,-34.2564,,UTR,no,no,,,,,,,,
Cape of Good Hope,UWC,18.47,-34.3562,,UTR,no,no,,,,,,,,
Bellows Rock,UWC,18.4818,-34.3793,,UTR,no,yes,,,,,,,,
Muizenberg,UWC,18.4724,-34.1108,,UTR,no,no,,,,,,,,
Rooiels,UWC,18.811,-34.2979,,UTR,no,no,,,,,,,,
Cape Hangklip,UWC,18.8281,-34.388,,UTR,no,no,,,,,,,,
Whittle Rock,UWC,18.55,-34.25,,UTR,no,yes,,,,,,,,
