site,src,lon,lat,depth,type,installed,trip
Muisbosskerm,UWC,18.30445,-32.13615,0,UTR,yes,1
Dead Whale Gulley,UWC,17.89035,-31.33109,0,UTR,yes,1
Hondeklip Bay,UWC,17.27362,-30.31697,0,UTR,yes,1
Kleinzee,UWC,17.05578,-29.6999,2,UTR,yes,1
Port Nolloth,UWC,16.86806,-29.26649,0,UTR,yes,1
Groenrivier,SAEON,17.57151,-30.843065,0,UTR,yes,2
Kleinzee Pump,UWC,17.04417,-29.67033,0,UTR,yes,2
Elands Point,UWC,18.31532,-32.31544,0,UTR,yes,2
St Helena Bay,UWC,17.99431,-32.73076,0,UTR,yes,2
Cape Columbine,UWC,17.84999,-32.83399,3,UTR,yes,2
Jacobsbaai,UWC,17.88145,-32.97629,0,UTR,yes,2
Yzerfontein,UWC,18.14923,-33.35452,0,UTR,yes,2
Dassen Island,UWC,18.0855162,-33.4232,,UTR,no,
