site;population;lon;lat;site_list;wave_7;wave_15
Soetwater;deep;18.3375;-34.1764;kelp;TB063;TB278
Olifantsbos;deep;18.3755;-34.2564;kelp;TB044;TB261
Buffelsbaai;deep;18.470217;-34.332867;kelp;FB024;FB598
Batsata Rock;deep;18.4802;-34.2768;kelp;FB057;FB632
Baboon Rock;deep;18.47824;-34.25525;kelp;FB072;FB647
Miller's Point;deep;18.47726;-34.23031;kelp;FB087;FB667
A-Frame;deep;18.468;-34.2072;kelp;FB104;FB681
Roman Rock;deep;18.46056;-34.18153;kelp;FB116;FB689
Kalk Bay;deep;18.4564;-34.1214;kelp;FB171;FB733
Betty's Bay;deep;18.911;-34.361;kelp;HE169;HE353
Oudekraal;deep;18.346194;-33.984972;kelp;TB126;TB341
Scarborough;deep;18.3654;-34.23871;excel;TB048;TB265
Hout Bay;deep;18.33505;-34.06226;excel;TB101;TB315
Kommetjie;deep;18.31648;-34.13173;excel;TB075;TB291
St Helena Bay;deep;17.98026;-32.71841;excel;SH113;SH405
Sea Point;deep;18.382165;-33.918469;SACTN;TB142;TB360
Bordjies Deep;deep;18.4652;-34.3105;SACTN;FB041;FB611
De Hoop;deep;20.55;-34.46;SACTN;SB001;SB221
Buffelsbaai South;deep;18.4699687;-34.3433275;Google;FB019;FB594
