Species;Morphological Characteristic;Unit measurement
Ecklonia maxima;Frond mass;Kilograms (kg)
Ecklonia maxima;Primary length;Centimeters (cm)
Ecklonia maxima;Primary width;Centimeters (cm)
Ecklonia maxima;Frond length;Centimeters (cm)
Ecklonia maxima;Stipe mass;Kilograms (kg)
Ecklonia maxima;Stipe length;Centimeters (cm)
Ecklonia maxima;Stipe circumference;Millimeters (mm)
Ecklonia maxima;Number of tufts;Count
Ecklonia maxima;Epiphyte length;Centimeters (cm)
Ecklonia maxima;Total length;Centimeters (cm)
Laminaria pallida;Lamina weight;Kilograms (kg)
Laminaria pallida;Lamina length;Centimeters (cm)
Laminaria pallida;Lamina thickness;Millimeters (mm)
Laminaria pallida;Stipe mass;Kilograms (kg)
Laminaria pallida;Stipe length;Centimeters (cm)
Laminaria pallida;Stipe diameter;Millimeters (mm)
Laminaria pallida;Number of digits;Count
Laminaria pallida;Thallus mass;Grams (g)
Laminaria pallida;Total length;Centimeters (cm)
