Scenario;Type;Month;Parameters;Cross-sectional area;Drag Exposure
1;Passive;January;No drag simulation;N/A;N/A
2;Kelp;January;Drag simulation;Minimum;Hydrodynamic drag only
3;Kelp;January;Drag simulation;Minimum;Hydrodynamic drag 95%, wind drag 5%
4;Kelp;January;Drag simulation;Minimum;Hydrodynamic drag 90%, wind drag 10%
5;Kelp;January;Drag simulation;Minimum;Hydrodynamic drag 85%, wind drag 15%
6;Kelp;January;Drag simulation;Mean;Hydrodynamic drag only
7;Kelp;January;Drag simulation;Mean;Hydrodynamic drag 95%, wind drag 5%
8;Kelp;January;Drag simulation;Mean;Hydrodynamic drag 90%, wind drag 10%
9;Kelp;January;Drag simulation;Mean;Hydrodynamic drag 85%, wind drag 15%
10;Kelp;January;Drag simulation;Maximum;Hydrodynamic drag only
11;Kelp;January;Drag simulation;Maximum;Hydrodynamic drag 95%, wind drag 5%
12;Kelp;January;Drag simulation;Maximum;Hydrodynamic drag 90%, wind drag 10%
13;Kelp;January;Drag simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
14;Passive;April;No drag simulation;N/A;N/A
15;Kelp;April;Drag simulation;Minimum;Hydrodynamic drag only
16;Kelp;April;Drag simulation;Minimum;Hydrodynamic drag 95%, wind drag 5%
17;Kelp;April;Drag simulation;Minimum;Hydrodynamic drag 90%, wind drag 10%
18;Kelp;April;Drag simulation;Minimum;Hydrodynamic drag 85%, wind drag 15%
19;Kelp;April;Drag simulation;Mean;Hydrodynamic drag only
20;Kelp;April;Drag simulation;Mean;Hydrodynamic drag 95%, wind drag 5%
21;Kelp;April;Drag simulation;Mean;Hydrodynamic drag 90%, wind drag 10%
22;Kelp;April;Drag simulation;Mean;Hydrodynamic drag 85%, wind drag 15%
23;Kelp;April;Drag simulation;Maximum;Hydrodynamic drag only
24;Kelp;April;Drag simulation;Maximum;Hydrodynamic drag 95%, wind drag 5%
25;Kelp;April;Drag simulation;Maximum;Hydrodynamic drag 90%, wind drag 10%
26;Kelp;April;Drag simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
27;Passive;July;No drag simulation;N/A;N/A
28;Kelp;July;Drag simulation;Minimum;Hydrodynamic drag only
29;Kelp;July;Drag simulation;Minimum;Hydrodynamic drag 95%, wind drag 5%
30;Kelp;July;Drag simulation;Minimum;Hydrodynamic drag 90%, wind drag 10%
31;Kelp;July;Drag simulation;Minimum;Hydrodynamic drag 85%, wind drag 15%
32;Kelp;July;Drag simulation;Mean;Hydrodynamic drag only
33;Kelp;July;Drag simulation;Mean;Hydrodynamic drag 95%, wind drag 5%
34;Kelp;July;Drag simulation;Mean;Hydrodynamic drag 90%, wind drag 10%
35;Kelp;July;Drag simulation;Mean;Hydrodynamic drag 85%, wind drag 15%
36;Kelp;July;Drag simulation;Maximum;Hydrodynamic drag only
37;Kelp;July;Drag simulation;Maximum;Hydrodynamic drag 95%, wind drag 5%
38;Kelp;July;Drag simulation;Maximum;Hydrodynamic drag 90%, wind drag 10%
39;Kelp;July;Drag simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
40;Passive;October;No drag simulation;N/A;N/A
41;Kelp;October;Drag simulation;Minimum;Hydrodynamic drag only
42;Kelp;October;Drag simulation;Minimum;Hydrodynamic drag 95%, wind drag 5%
43;Kelp;October;Drag simulation;Minimum;Hydrodynamic drag 90%, wind drag 10%
44;Kelp;October;Drag simulation;Minimum;Hydrodynamic drag 85%, wind drag 15%
45;Kelp;October;Drag simulation;Mean;Hydrodynamic drag only
46;Kelp;October;Drag simulation;Mean;Hydrodynamic drag 95%, wind drag 5%
47;Kelp;October;Drag simulation;Mean;Hydrodynamic drag 90%, wind drag 10%
48;Kelp;October;Drag simulation;Mean;Hydrodynamic drag 85%, wind drag 15%
49;Kelp;October;Drag simulation;Maximum;Hydrodynamic drag only
50;Kelp;October;Drag simulation;Maximum;Hydrodynamic drag 95%, wind drag 5%
51;Kelp;October;Drag simulation;Maximum;Hydrodynamic drag 90%, wind drag 10%
52;Kelp;October;Drag simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
53;Passive;January;Accumulation simulation;N/A;N/A
54;Kelp;January;Accumulation simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
55;Passive;April;Accumulation simulation;N/A;N/A
56;Kelp;April;Accumulation simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
57;Passive;July;Accumulation simulation;N/A;N/A
58;Kelp;July;Accumulation simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
59;Passive;October;Accumulation simulation;N/A;N/A
60;Kelp;October;Accumulation simulation;Maximum;Hydrodynamic drag 85%, wind drag 15%
61;Kelp;January;Shape coefficient comparison;Maximum;Hydrodynamic drag only, cylinder shape coefficient
62;Kelp;April;Shape coefficient comparison;Maximum;Hydrodynamic drag only, cylinder shape coefficient
63;Kelp;July;Shape coefficient comparison;Maximum;Hydrodynamic drag only, cylinder shape coefficient
64;Kelp;October;Shape coefficient comparison;Maximum;Hydrodynamic drag only, cylinder shape coefficient
